GHO (CODE),GHO (DISPLAY),GHO (URL),GBDCHILDCAUSES (CODE),GBDCHILDCAUSES (DISPLAY),GBDCHILDCAUSES (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE074,Prostate cancer,,,,,6.4,6.41527,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE110,Cardiovascular diseases,,,,,209.8,209.82485,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE127,Kidney diseases,,,,,40.0,39.97359,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE152,Unintentional injuries,,,,,45.1,45.09072,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE155,Falls,,,,,2.6,2.61545,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE011,Diarrhoeal diseases,,,,,17.0,17.00733,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE013,Whooping cough,,,,,0.4,0.39572,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE027,Lymphatic filariasis,,,,,0.0,0.00000,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE030,Dengue,,,,,0.4,0.39926,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE055,Protein-energy malnutrition,,,,,9.2,9.22576,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE061,Malignant neoplasms,,,,,84.7,84.71755,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE076,"Lymphomas, multiple myeloma",,,,,2.7,2.65495,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE112,Hypertensive heart disease,,,,,20.8,20.84425,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE114,Stroke,,,,,73.5,73.54831,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE129,Urolithiasis,,,,,0.5,0.47685,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE132,Gynecological diseases,,,,,0.0,0.00000,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE134,Musculoskeletal diseases,,,,,2.2,2.19082,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE157,Drowning,,,,,10.1,10.07510,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE159,Other unintentional injuries,,,,,20.9,20.92231,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE160,Intentional injuries,,,,,38.4,38.44890,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE015,Measles,,,,,0.1,0.08624,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE017,Meningitis,,,,,3.7,3.69831,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE032,Rabies,,,,,0.1,0.10710,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE063,Oesophagus cancer,,,,,0.1,0.12424,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE080,Diabetes mellitus,,,,,39.6,39.57710,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE081,"Endocrine, blood, immune disorders",,,,,4.2,4.18768,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE116,Other circulatory diseases,,,,,7.5,7.45168,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE118,Chronic obstructive pulmonary disease,,,,,15.6,15.55122,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE119,Asthma,,,,,5.4,5.43252,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE140,Congenital anomalies,,,,,8.9,8.91974,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE142,Cleft lip and cleft palate,,,,,0.1,0.09979,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE143,Down's syndrome,,,,,0.2,0.22257,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE161,Self-harm,,,,,6.2,6.24351,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE000,All Causes,,,,,686.2,686.16104,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE019,Acute hepatitis B,,,,,0.4,0.36715,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE039,Lower respiratory infections,,,,,27.1,27.11378,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE040,Upper respiratory infections,,,,,0.0,0.04092,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE067,Pancreas cancer,,,,,4.1,4.14836,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE068,"Trachea, bronchus, lung cancers",,,,,7.3,7.26317,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE082,Mental and behavioral disorders,,,,,4.3,4.29111,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE095,Alzheimer's disease and other dementias,,,,,1.5,1.54466,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE096,Parkinson's disease,,,,,1.2,1.18559,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE120,Other respiratory diseases,,,,,3.3,3.32563,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE123,Cirrhosis of the liver,,,,,31.6,31.62773,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE144,Congenital heart anomalies,,,,,4.9,4.85831,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE151,Injuries,,,,,64.4,64.44008,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE001,Communicable & other Group I,,,,,86.1,86.07657,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE002,Infectious and parasitic diseases,,,,,29.2,29.16582,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE004,STDs excluding HIV,,,,,0.9,0.93674,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE023,Trypanosomiasis,,,,,0.0,0.00000,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE024,Chagas disease,,,,,0.1,0.11652,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE050,Preterm birth complications,,,,,10.4,10.37971,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE051,Birth asphyxia and birth trauma,,,,,4.7,4.71213,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE072,Corpus uteri cancer,,,,,0.0,0.00000,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE097,Epilepsy,,,,,3.2,3.19735,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE110,Cardiovascular diseases,,,,,262.0,261.99926,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE124,Appendicitis,,,,,1.2,1.23003,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE125,Other digestive diseases,,,,,14.8,14.82877,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE127,Kidney diseases,,,,,73.7,73.74852,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE152,Unintentional injuries,,,,,66.3,66.30042,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE153,Road injury,,,,,35.3,35.25779,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,MLE,Male,,GHE155,Falls,,,,,4.7,4.71177,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE011,Diarrhoeal diseases,,,,,5.4,5.38061,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE013,Whooping cough,,,,,0.3,0.27526,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE028,Onchocerciasis,,,,,0.0,0.00000,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE055,Protein-energy malnutrition,,,,,3.5,3.45804,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE074,Prostate cancer,,,,,0.0,0.00000,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE076,"Lymphomas, multiple myeloma",,,,,2.0,2.03296,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE111,Rheumatic heart disease,,,,,2.6,2.61773,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE112,Hypertensive heart disease,,,,,19.3,19.33540,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE114,Stroke,,,,,63.2,63.18695,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,FMLE,Female,,GHE129,Urolithiasis,,,,,0.3,0.30278,,,,,
