5.1  Commodity balances ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,GWh,,,,,,,,
Final consumption,"315,678","322,744","329,420","332,721","333,401","336,219","338,948","348,675","345,229","341,656","341,822","321,748","328,837","317,873","318,272","316,271","302,786","303,480r","304,033r","299,649r","299,645",,,,,,,,
Industry,"107,177","110,978","114,112","111,337","110,168","109,278","111,467","116,024","114,896","112,800","114,151","99,738","104,538","102,416","98,456","96,981","93,005","92,938r","93,316r","92,308r","93,020",,,,,,,,
Unclassified,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
Iron and steel,"9,571","9,779","6,349","5,303","5,092","5,434","5,412","5,020","5,860","4,937","4,657","3,615","3,842","3,852","3,579","3,799","3,787","3,688","2,830r","2,703r","2,560",,,,,,,,
Non-ferrous metals,"5,698","5,895","6,152","7,324","6,325","7,244","7,468","7,693","7,524","7,386","7,391","6,075","6,726","6,971","5,028","4,430","4,475","4,424r","4,507r","4,306","4,088",,,,,,,,
Mineral products,"7,142","7,265","8,109","7,247","7,015","7,451","7,535","7,978","7,869","7,811","7,931","7,010","7,266","7,010","6,747","6,726","6,267","6,102r","6,240r","6,170r","6,310",,,,,,,,
Chemicals,"20,916","21,677","23,732","21,079","22,361","19,741","19,928","21,125","20,391","20,197","20,287","17,702","18,468","17,640","17,508","16,525","15,476","15,615r","15,088r","15,234r","15,268",,,,,,,,
Mechanical engineering etc,"8,520","8,824","9,420","8,569","8,494","8,539","8,410","8,633","8,491","8,458","8,614","7,688","7,653","7,261","7,072","7,064","6,912","6,232r","6,210r","6,472r","6,514",,,,,,,,
Electrical engineering etc,"5,996","6,006","6,196","5,697","5,830","5,969","6,609","7,420","7,342","7,290","7,397","6,455","6,657","6,383","6,189","6,172","5,714","5,994r","6,058r","5,985r","6,087",,,,,,,,
Vehicles,"5,586","5,615","6,316","5,824","5,576","5,611","5,583","5,841","5,748","5,723","5,812","5,012","5,284","5,188","5,081","5,067","4,831","4,876r","4,848r","4,756r","4,768",,,,,,,,
"Food, beverages etc","11,852","12,524","11,724","11,570","11,866","11,449","12,049","12,273","12,118","12,082","12,257","10,741","11,520","11,322","11,137","11,083","10,644","10,778r","10,960r","11,057r","11,818",,,,,,,,
"Textiles, leather etc","3,666","3,751","3,599","3,303","3,423","3,403","3,333","3,393","3,360","3,349","3,395","3,013","3,050","2,992","2,910","2,894","2,721","2,692","2,694r","2,718r","2,721",,,,,,,,
"Paper, printing etc","10,684","10,989","11,416","11,511","11,688","12,550","13,171","13,225","12,906","12,741","12,865","11,069","10,954","10,940","10,866","10,806","10,725","10,602r","10,564r","10,598r","10,382",,,,,,,,
Other industries,"16,012","17,125","19,514","22,213","20,799","20,186","20,166","21,495","21,449","21,028","21,729","19,771","21,497","21,317","20,848","20,952","20,060","20,572r","22,009r","20,894r","21,108",,,,,,,,
Construction,"1,534","1,528","1,586","1,698","1,700","1,701","1,804","1,929","1,840","1,798","1,817","1,586","1,621","1,539","1,494","1,464","1,393","1,364r","1,309r","1,417r","1,396",,,,,,,,
Transport (3),"8,511","8,579","8,623","8,828","8,454","8,212","4,058","4,059","4,002","3,962","3,954","4,051","4,068","4,205","4,480","4,352","4,504","4,517r","4,690r","4,833r","4,984",,,,,,,,
Air,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
Rail (4),"2,700","2,700","2,700","2,700","2,700","2,700","4,039","4,040","3,983","3,943","3,936","4,033","4,050","4,184","4,454","4,319","4,437","4,419","4,557","4,649r","4,742",,,,,,,,
Road (5),-,-,-,-,-,-,19,19,19,18,18,18,18,21,26,33,68,97,133r,184r,241,,,,,,,,
National navigation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
Pipelines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
Other,"199,990","203,187","206,685","212,557","214,779","218,728","223,423","228,591","226,331","224,895","223,718","217,959","220,232","211,252","215,336","214,938","205,277","206,025","206,027r","202,508r","201,641",,,,,,,,
Domestic,"109,410","110,308","111,842","115,337","120,014","123,001","124,201","125,711","124,704","123,076","119,800","118,541","118,832","111,586","114,663","113,412","108,076","107,764","108,025r","105,368r","105,065",,,,,,,,
Public administration,"21,577","21,951","20,913","21,105","20,357","20,423","20,158","20,028","20,012","20,087","20,355","19,442","19,100","18,397","18,903","18,802","18,502","19,371","19,708r","19,746r","18,259",,,,,,,,
Commercial,"64,952","66,748","69,571","72,014","70,363","71,298","75,021","78,850","77,606","77,677","79,496","76,176","78,272","77,320","77,899","78,849","74,854","74,773","73,984r","73,046r","73,998",,,,,,,,
Agriculture,"4,051","4,180","4,358","4,100","4,045","4,005","4,044","4,002","4,009","4,055","4,067","3,801","4,029","3,948","3,871","3,874","3,844","4,117","4,310r","4,348r","4,320",,,,,,,,
Miscellaneous,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
Non energy use,- ,- ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1  Commodity balances (continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,GWh,,,,,,,,
,1998,1999,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018,,,,,,,,
Electricity production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total production (6),"361,078","365,250","374,374","382,356","384,594","395,475","391,280","395,430","393,429","392,971","384,829","373,069","378,918","365,076","360,907","355,379","335,213","336,136","336,232r","335,300r","330,394",,,,,,,,
Primary electricity,-,-,,,,,,,,,,,,,,,,-,-,-,-,,,,,,,,
Major power producers,"103,723","99,564","89,394","93,307","91,776","91,254","83,907","85,444","79,144","70,741","62,097","79,932","72,812","86,492","91,732","98,174","95,145","109,913","108,425","118,448r","120,726",,,,,,,,
Nuclear,"99,486","95,133","85,063","90,093","87,848","88,686","79,999","81,618","75,451","63,028","52,486","69,098","62,140","68,980","70,405","70,607","63,748","70,345","71,726","70,336","65,064",,,,,,,,
Large scale hydro (6),"4,237","4,431","4,331","3,215","3,927","2,523","3,773","3,637","3,481","3,906","3,971","4,029","2,505","4,289","3,898","3,349","4,333","4,578","3,682","3,876","3,509",,,,,,,,
Small scale hydro (7),-,-,-,-,-,44,135,189,212,238,253,265,199,304,272,260,301,328,269,303,318,,,,,,,,
Wind and solar (8)(9),-,-,-,-,-,-,-,-,-,"3,569","5,388","6,540","7,970","12,918","17,157","23,958","26,762","34,662","32,748","43,933r","51,836",,,,,,,,
Other generators,"1,757","1,756","1,701","1,805","2,119","1,948","2,875","4,008","5,136","2,652","2,668","3,695","3,247","4,388","5,187","7,546","10,507","14,539","16,258r","18,903r","19,598",,,,,,,,
Nuclear,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
Large scale hydro,674,698,540,630,657,561,788,841,634,648,629,635,587,698,733,678,720,736,697,730,687,,,,,,,,
Small scale hydro (7),206,207,214,210,204,99,148,254,266,285,288,299,301,400,406,415,533,655,746r,993r,976,,,,,,,,
"Wind, wave and solar photovoltaics (8)(9)",877,851,947,965,"1,259","1,288","1,939","2,912","4,236","1,719","1,751","2,761","2,358","3,290","4,048","6,454","9,253","13,148","14,815r","17,180r","17,935",,,,,,,,
Secondary electricity,-,-,,,,,,,,,,,,,,,,-,-,-,-,,,,,,,,
Major power producers,"228,417","234,142","249,695","257,328","259,566","268,612","271,758","273,838","278,236","286,717","289,053","258,394","271,645","243,141","233,592","223,545","202,794","183,338","181,559","166,425","158,132",,,,,,,,
Coal,"118,595","102,074","117,025","127,128","120,958","134,023","127,827","130,690","144,947","132,074","120,305","99,287","103,841","104,668","140,118","130,175","100,167","75,812","30,613","22,481","16,778",,,,,,,,
Oil,"3,442","2,943","2,415","2,472","2,011","2,197","1,883","2,921","3,723","2,955","4,557","3,839","2,273","1,075","1,132",745,530,683,606,390,625,,,,,,,,
Gas,"105,804","128,365","129,558","126,999","135,741","131,238","140,577","137,483","126,637","149,346","161,583","152,598","161,748","132,753","86,229","82,891","88,871","88,461","131,972","124,512","119,632",,,,,,,,
Renewables,576,760,698,729,856,"1,154","1,471","2,744","2,928","2,341","2,608","2,670","3,783","4,646","6,113","9,212","12,698","17,694","17,400","17,766","19,965",,,,,,,,
Other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,522,528,689,968,"1,276","1,132",,,,,,,,
Other generators,"27,181","29,788","33,584","29,915","31,133","33,661","32,740","32,140","30,914","32,860","31,011","31,048","31,214","31,055","30,395","26,115","26,768","28,346","29,990r","31,525r","31,938",,,,,,,,
Coal,"4,376","4,106","2,925","4,333","3,321","4,282","3,961","3,947","3,903","3,870","4,077","3,751","3,753","3,774","2,992",83,72,66,56,49,53,,,,,,,,
Oil,"3,913","3,606","4,109","2,781","2,788","2,397","2,761","2,417","2,450","2,093","2,152","2,155","2,532","2,044","1,441","1,321","1,390","1,354","1,285","1,225",438,,,,,,,,
Gas,"11,994","14,537","18,519","14,906","16,536","17,643","16,487","15,159","14,191","16,447","14,636","13,901","13,906","13,746","13,940","12,952","12,021","11,415","11,384","12,233","11,857",,,,,,,,
Renewables,"2,661","3,227","3,630","4,318","4,769","5,537","6,469","6,941","6,999","6,983","6,958","8,045","8,478","8,668","8,621","8,888","9,921","11,563","12,660r","14,013r","14,794",,,,,,,,
Other,"4,237","4,312","4,401","3,577","3,719","3,800","3,062","3,676","3,371","3,467","3,188","3,196","2,545","2,823","3,401","2,870","3,363","3,948","4,605","4,005r","4,796",,,,,,,,
,,,,,,,,,,,,,,,,,,-,-,-,-,,,,,,,,
Primary and secondary production (10),,,,,,,,,,,,,,,,,,-,-,-,-,,,,,,,,
Nuclear,"99,486","95,133","85,063","90,093","87,848","88,686","79,999","81,618","75,451","63,028","52,486","69,098","62,140","68,980","70,405","70,607","63,748","70,345","71,726","70,336","65,064",,,,,,,,
Hydro,"5,117","5,336","5,085","4,055","4,788","3,228","4,844","4,921","4,593","5,077","5,141","5,228","3,591","5,692","5,310","4,701","5,888","6,297","5,394r","5,902r","5,490",,,,,,,,
"Wind, wave and solar photovoltaics",877,851,947,965,"1,259","1,288","1,939","2,912","4,236","5,288","7,139","9,302","10,328","16,208","21,205","30,412","36,016","47,810","47,563r","61,113r","69,771",,,,,,,,
Coal,"122,971","106,180","119,950","131,461","124,279","138,305","131,788","134,637","148,850","135,944","124,381","103,038","107,594","108,442","143,111","130,258","100,239","75,878","30,669","22,530","16,831",,,,,,,,
Oil,"7,355","6,549","6,524","5,253","4,799","4,594","4,644","5,338","6,173","5,048","6,709","5,995","4,805","3,119","2,573","2,066","1,920","2,037","1,890","1,615","1,063",,,,,,,,
Gas,"117,798","142,902","148,077","141,905","152,277","148,881","157,064","152,642","140,828","165,793","176,219","166,499","175,653","146,499","100,170","95,843","100,892","99,875","143,356","136,746","131,490",,,,,,,,
Other renewables,"3,237","3,987","4,328","5,048","5,625","6,692","7,940","9,685","9,928","9,325","9,566","10,714","12,261","13,313","14,734","18,100","22,619","29,257","30,060r","31,778r","34,758",,,,,,,,
Other,"4,237","4,312","4,401","3,577","3,719","3,800","3,062","3,676","3,371","3,467","3,188","3,196","2,545","2,823","3,401","3,392","3,891","4,636","5,573","5,281r","5,927",,,,,,,,
Total production,"361,078","365,250","374,375","382,356","384,594","395,475","391,280","395,430","393,429","392,971","384,829","373,069","378,918","365,076","360,907","355,379","335,213","336,136","336,232r","335,300r","330,394",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)  Pumped storage production.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  Total supply minus total demand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3)  From 2004, non-traction Transport sector consumption is included under 'Transport Services'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4)  From 2004, this includes light rail and metro systems (eg. London Underground).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(5)  Included from 2004.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(6)  Excludes pumped storage production.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(7)  A re-assessment in 2004 showed that some small scale hydro output previously classified to Other Generators should be classified to Major Power Producers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(8)  From 2007, major wind farm companies are included under Major Power Producers, see paragraph 5.63.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(9)  From 2015, major solar companies are included under Major Power Producers, see paragraph 5.65.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(10)  These figures are the same as the electricity generated figures in Table 5.6 except that they exclude pumped storage production. Table 5.6 shows that electricity used on works is deducted to obtain electricity supplied. It is electricity supplied that is used to produce Chart 5.2 showing each fuel's share of electricity output (see paragraph 5.23).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
